minute,model,gold_diff,xp_diff,cs_diff
5,Gradient Boosting,0.2481162955111528,0.719704798241702,0.0321789062471451
5,Random Forest,0.4533211366487418,0.3905061892207795,0.1561726741304788
5,Logistic Regression,0.0273412468117872,0.019942864076191,0.9527158891120218
5,Neural Network (MLP),0.2745148359974581,0.7127877987974774,0.0126973652050643
10,Gradient Boosting,0.405277687419515,0.524348036662209,0.070374275918276
10,Random Forest,0.4209155170388747,0.3825391926449326,0.1965452903161927
10,Logistic Regression,0.016906289675623,0.0144814172117929,0.968612293112584
10,Neural Network (MLP),0.3423378727281931,0.5997772490254646,0.0578848782463422
15,Gradient Boosting,0.3654503076472273,0.3396311916774268,0.2949185006753458
15,Random Forest,0.4010075361541594,0.3724654746145978,0.2265269892312427
15,Logistic Regression,0.0091798630238918,0.0088199786177012,0.9820001583584068
15,Neural Network (MLP),0.4084951591106833,0.5421888594753698,0.0493159814139468
20,Gradient Boosting,0.4001449172703036,0.3889824754486491,0.2108726072810473
20,Random Forest,0.4058249617275097,0.3829591668129719,0.2112158714595184
20,Logistic Regression,0.0028022276211088,0.0041201770539404,0.9930775953249508
20,Neural Network (MLP),0.406489571980123,0.5767646352502172,0.0167457927696598
5,K-Nearest Neighbors,0.1501288947831139,0.8319450446288876,0.0179260605879984
10,K-Nearest Neighbors,0.2906742981481043,0.6999479671720158,0.0093777346798798
15,K-Nearest Neighbors,0.3734919767305664,0.6188458985671338,0.0076621247022996
20,K-Nearest Neighbors,0.36521591600882225,0.6337661300785421,0.0010179539126357032
